2026-04-18 19:25:04,258 INFO    MainThread:35507 [wandb_setup.py:_flush():81] Current SDK version is 0.25.1
2026-04-18 19:25:04,259 INFO    MainThread:35507 [wandb_setup.py:_flush():81] Configure stats pid to 35507
2026-04-18 19:25:04,259 INFO    MainThread:35507 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-04-18 19:25:04,259 INFO    MainThread:35507 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /Users/maxpendse/Desktop/Coding Projects/Max-Post-Training-Tests/wandb/run-20260418_192504-262bnfio/logs/debug.log
2026-04-18 19:25:04,259 INFO    MainThread:35507 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /Users/maxpendse/Desktop/Coding Projects/Max-Post-Training-Tests/wandb/run-20260418_192504-262bnfio/logs/debug-internal.log
2026-04-18 19:25:04,259 INFO    MainThread:35507 [wandb_init.py:init():844] calling init triggers
2026-04-18 19:25:04,259 INFO    MainThread:35507 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.02, 'epochs': 10, 'dataset': 'Breast Cancer SKLearn', '_wandb': {}}
2026-04-18 19:25:04,259 INFO    MainThread:35507 [wandb_init.py:init():892] starting backend
2026-04-18 19:25:04,566 INFO    MainThread:35507 [wandb_init.py:init():895] sending inform_init request
2026-04-18 19:25:04,587 INFO    MainThread:35507 [wandb_init.py:init():903] backend started and connected
2026-04-18 19:25:04,602 INFO    MainThread:35507 [wandb_init.py:init():973] updated telemetry
2026-04-18 19:25:04,616 INFO    MainThread:35507 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-04-18 19:25:05,119 INFO    MainThread:35507 [wandb_init.py:init():1042] starting run threads in backend
2026-04-18 19:25:05,228 INFO    MainThread:35507 [wandb_run.py:_console_start():2524] atexit reg
2026-04-18 19:25:05,228 INFO    MainThread:35507 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-04-18 19:25:05,228 INFO    MainThread:35507 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-04-18 19:25:05,228 INFO    MainThread:35507 [wandb_run.py:_redirect():2465] Redirects installed.
2026-04-18 19:25:05,230 INFO    MainThread:35507 [wandb_init.py:init():1082] run started, returning control to user process
2026-04-18 19:25:05,254 INFO    wandb-AsyncioManager-main:35507 [service_client.py:_forward_responses():134] Reached EOF.
2026-04-18 19:25:05,254 INFO    wandb-AsyncioManager-main:35507 [mailbox.py:close():155] Closing mailbox, abandoning 1 handles.
